192 888 (534)
581 966 (624)
175 766 (552)
411 579 803 842 (542)
579 842 (600)
413 793 857 (691)
346 561 888 (605)
105 494 862 944 (507)
350 411 572 579 (529)
105 494 862 (549)
571 623 853 (713)
140 (2687)
120 593 862 895 (562)
408 (607)
105 494 815 (552)
684 70 765 (695)
354 956 (586)
623 795 (805)
70 765 819 (698)
35 (1984)
471 678 960 (658)
120 593 (642)
684 923 (514)
720 780 (587)
487 510 (646)
538 (3982)
33 346 515 (797)
21 413 793 (700)
350 411 (624)
208 290 458 888 (720)
208 290 888 969 (734)
832 (2062)
833 (629)
831 (852)
591 (1241)
590 (814)
593 (2601)
595 (797)
594 (1516)
597 (2883)
598 (3219)
598 782 (800)
708 978 (569)
417 (971)
585 (856)
583 (1389)
580 (1667)
581 (2943)
707 867 (504)
579 (2164)
578 (1290)
573 (1229)
571 (2902)
577 (1695)
576 (1337)
574 (1297)
529 782 (862)
862 944 (659)
568 (956)
561 (2783)
563 (1065)
565 (640)
567 (1102)
263 (654)
522 617 (622)
558 (957)
554 (1114)
557 (587)
550 (1203)
540 (1293)
541 (3735)
546 (1050)
544 (773)
548 (2843)
534 (1531)
533 (772)
530 (1263)
421 (656)
525 (609)
527 (1185)
521 (1582)
522 (2725)
523 (2244)
528 (576)
529 (7057)
504 (1296)
296 368 (634)
518 (759)
510 (3281)
513 (1287)
512 (611)
515 (1166)
516 (1544)
12 227 390 (607)
120 593 862 (572)
507 (950)
116 673 (577)
272 (659)
354 617 (680)
496 626 (761)
54 944 998 (578)
236 829 (566)
6 676 (769)
774 883 (557)
571 623 (783)
413 793 (766)
192 487 935 (500)
249 (615)
52 598 (539)
12 390 (687)
21 793 (765)
185 471 (680)
765 819 (787)
177 775 (510)
401 571 (708)
633 (780)
661 947 (637)
132 (2641)
130 (1711)
139 (671)
290 458 (786)
120 (4973)
122 (1081)
125 (1287)
126 (1075)
128 (525)
129 (1547)
115 (1775)
117 (731)
116 (2193)
111 (1171)
110 (1801)
112 (2680)
118 (916)
10 (1351)
12 (3415)
17 (1683)
217 888 (539)
208 290 (803)
120 593 895 (579)
72 937 (628)
217 283 33 346 (766)
108 (940)
100 (1749)
104 (1158)
105 (1100)
392 862 (881)
529 829 (584)
887 (1671)
886 (3053)
885 (3043)
884 (1645)
178 (654)
177 (4629)
176 (582)
175 (2791)
174 (579)
173 (1080)
171 (1097)
170 (1203)
185 471 678 960 (648)
815 944 (626)
192 487 (517)
890 (1437)
893 (1947)
895 (3385)
897 (1935)
899 (1252)
168 (1538)
164 (744)
167 (625)
160 (987)
161 (2320)
162 (1450)
163 (1256)
350 579 842 (562)
825 879 (537)
661 923 (623)
793 914 (568)
675 701 (540)
236 956 (521)
154 (1447)
157 (1140)
158 (884)
69 871 (515)
348 912 (562)
147 (1383)
144 (505)
145 (4559)
143 (1417)
526 (2793)
494 862 944 (550)
25 (1395)
21 (2666)
28 (1454)
105 862 944 (559)
572 579 803 842 (531)
494 682 (714)
368 653 (548)
923 947 (859)
392 801 (664)
194 (517)
197 (1230)
193 (925)
192 (2004)
183 (3883)
181 (1235)
187 (759)
354 583 617 (586)
809 (2163)
803 (2237)
801 (835)
805 (1789)
804 (1315)
105 944 (626)
217 546 923 947 (564)
793 984 (656)
461 569 (500)
460 684 (619)
819 (1257)
810 (1267)
812 (1518)
814 (1672)
815 (1358)
349 634 (512)
368 692 (928)
829 (6810)
828 (542)
825 (3085)
824 (565)
826 (2022)
820 (1473)
823 (1031)
494 631 (659)
39 (4258)
38 (2402)
33 (1460)
32 (4248)
37 (1249)
36 (528)
217 283 33 515 (755)
227 390 (1049)
368 682 (1193)
830 (841)
837 (619)
834 (1373)
835 (732)
838 (953)
839 (854)
309 793 (507)
631 963 (591)
846 (1480)
845 (585)
844 (2814)
843 (1222)
842 (752)
841 (1927)
217 283 (926)
854 (2847)
855 (939)
857 (1588)
851 (577)
852 (538)
853 (1804)
858 (866)
859 (1242)
471 871 (643)
661 (2693)
197 878 (544)
296 829 (736)
868 (510)
860 (1255)
862 (3649)
867 (1530)
579 803 842 (570)
684 765 (812)
991 (1268)
204 (2174)
494 815 862 944 (502)
708 (1090)
878 (2047)
879 (865)
874 (2237)
871 (2810)
217 546 661 (585)
192 888 935 (505)
48 (2472)
46 (543)
44 (903)
45 (1728)
43 (1721)
41 (1353)
350 411 572 842 (532)
411 572 579 (560)
21 57 (661)
217 546 (599)
143 460 (555)
368 937 (701)
980 (899)
214 (1893)
392 569 (535)
217 561 (519)
350 411 572 803 (535)
278 (657)
279 (3014)
210 829 (508)
541 631 963 (540)
217 510 (547)
55 (1959)
54 (2595)
57 (2743)
51 (1612)
53 (535)
52 (1983)
208 290 458 (751)
354 480 (540)
220 (717)
39 825 (1187)
7 (997)
642 (830)
647 (551)
75 775 (787)
428 94 (508)
21 793 857 (695)
458 888 (796)
217 283 346 515 (773)
678 960 (669)
477 766 (525)
458 888 969 (756)
597 766 (569)
419 797 (622)
66 (888)
69 (2370)
494 541 631 963 (513)
362 69 (757)
653 (2634)
12 722 (740)
21 362 (523)
933 (523)
143 481 (558)
217 283 33 (793)
438 684 75 (672)
75 (3151)
73 (2179)
72 (2852)
71 (3507)
78 (2471)
569 801 (503)
283 33 346 515 (763)
5 (1094)
460 919 (591)
487 (3135)
487 935 (519)
158 354 617 (597)
335 509 (639)
572 (1589)
70 765 (789)
227 390 722 (907)
541 956 (570)
546 661 (610)
185 471 678 (657)
494 815 (625)
32 6 (607)
229 758 (516)
546 661 923 (592)
290 969 (797)
58 (1330)
158 354 583 617 (557)
120 793 (547)
571 623 795 853 (655)
489 (3420)
486 (1547)
481 (888)
480 (2309)
801 862 (674)
516 744 (678)
90 (1875)
93 (2777)
95 (841)
94 (1201)
97 (1466)
96 (975)
494 (5102)
490 (1066)
492 (665)
472 6 (635)
154 168 (574)
684 (5408)
39 704 825 (1035)
494 862 (720)
572 579 (601)
3 (531)
938 (766)
935 (1742)
449 (1890)
448 (1370)
440 (1943)
447 (863)
789 93 (538)
854 899 (539)
283 346 (910)
458 (1124)
450 (2082)
